Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,age_category,rating_category,result
927,39,A tad scratchier than most,"Also, does run big, though i felt te xs seemed fine (usual size is xs). passed as there were better options, runs big,but mostly, it was scratchy. beautiful color and design, however.",4,0,0,General,Tops,Sweaters,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":183,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""were better options"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""beautiful color and design"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
927,58,Fun sweater,This is a cute sweater that can be very versatile. i love to wear it to work with a dress pant as well as with jeans on the weekends. it is soft and looks great on. would recommend.,4,1,0,General,Tops,Sweaters,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":181,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""This is a cute sweater that can be very versatile"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""i love to wear it to work with a dress pant as well as with jeans on the weekends"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""it is soft and looks great on"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
1009,37,Absolutely stunning!,"I got this in an xs as the s sold out before i could purchase. i can still zip it at 27.5/28"" but would be more comfortable at say 26"". i'm almost 5'5"" and with 3"" heels it skims the floor perfectly. i'm so obsessed with the weight and texture! it is full and fabulous! i'll just need to slim down a tad so i can be comfortable at my sister-in-laws wedding next month. 
i wore a very fitted tank and it works perfectly! photographs well and feels very red carpet worthy.",5,1,1,General,Bottoms,Skirts,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":470,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""comfortable at say 26"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""be comfortable at my sister"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1},{""type"":""COMPANY"",""text"":""photographs well"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1}]}'"
840,39,Very boxy,This shirt has absolutely no shape. look carefully at the model and you we discover she is cleverly positioned to hide the sheer boxy-ness of this shirt. the print is beautiful but it looks like a maternity shirt. i even ordered the xs at 5'7 and 130 lbs but found it too baggy. returned.,1,0,0,General,Tops,Blouses,adultos,muito ruim,"b'{""usage"":{""text_units"":1,""text_characters"":288,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""it looks like a maternity shirt"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
927,66,Great royal blue color,"I immediately loved the rich royal blue color of this sweater with its pretty flower, nice fabric and medium weight. nice warm sweater.i have an retailer skirt just like the photo, great outfit. i am happy i ordered it, but hope it shrinks after washing.the small is very big and boxy, sleeves long. i am 5'6 medium build. small usually fits me well.
i recommend downsizing or you will probably take this back.",4,1,0,General,Tops,Sweaters,terceira idade,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":410,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""I immediately loved the rich royal blue color of this sweater with its pretty flower, nice fabric"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""small usually fits me well"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""COMPANY"",""text"":""i recommend downsizing"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'"
909,70,Great fit and style,"This is a great cardigan to wear buttoned or open. the fit is perfect; it is fitted and looks great with jeans, skirts or over a sleeveless dress. love the little detail of lace to show skin. fabric has lycra so it hugs your bodice just enough!! love it.",5,1,1,General Petite,Tops,Fine gauge,terceira idade,boa,"b'{""usage"":{""text_units"":1,""text_characters"":254,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""sleeveless dress"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""COMPANY"",""text"":""love the little detail of lace to show skin"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'"
927,63,Comfort and color,This is a cross between a sweater and a sweatshirt. not a heavy weight but very warm. the color is vibrant. many compliments.,5,1,0,General,Tops,Sweaters,terceira idade,boa,"b'{""usage"":{""text_units"":1,""text_characters"":125,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""This is a cross between a sweater and a sweatshirt"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""the color is vibrant"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1},{""type"":""PRODUCT"",""text"":""many compliments"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1}]}'"
927,49,A true winter sweater.,"I bought this sweater online and was surprised by how thick and fluffy it is. this is a warm and cozy sweater, more bulky than oversized. pattern has a comic book-style art look. it has raglan sleeves and a boxy cut and narrows a bit at the waist. cute, warm sweater for winter--wore with an undershirt.",3,1,0,General,Tops,Sweaters,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":303,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""I bought this sweater online"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""COMPANY"",""text"":""this is"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1},{""type"":""PRODUCT"",""text"":""cute"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1}]}'"
927,49,Cute but runs large,"This sweater has a fun big bold flower and a nice blue color and is quite roomy. the fit is larger around the arms and chest, which might work well for people who are very curvy on top. it seems to taper a bit to the waist. the roomy fit to the arms gives it almost a bat wing shape. it was too overwhelming on my petite frame, what with the bold flower and the fit, so i passed. but if you like the big flower and color and want a roomy sweater, this could work well for you.",3,1,2,General,Tops,Sweaters,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":476,""features"":1},""language"":""en"",""entities"":[]}'"
854,51,Perfect!,Bought this top for date night -- something a little special. it's that and also very comfortable. i have broad shoulders and this style accommodates. easy to dress up or down -- perfect!,5,1,1,General,Tops,Knits,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":187,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""Bought this top for date night -- something a little special"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""very comfortable"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""easy to dress up or down -- perfect"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
